iter	Passed	Remaining
0	144	144771
1	145	72621
2	146	48545
3	146	36510
4	147	29290
5	147	24471
6	148	21028
7	148	18458
8	149	16488
9	150	14880
10	150	13561
11	151	12461
12	151	11531
13	152	10733
14	152	10041
15	153	9437
16	153	8902
17	154	8427
18	154	8002
19	155	7619
20	156	7285
21	157	6992
22	158	6712
23	158	6451
24	159	6210
25	159	5986
26	160	5779
27	160	5586
28	161	5407
29	162	5238
30	162	5080
31	163	4935
32	163	4799
33	164	4669
34	164	4546
35	165	4429
36	165	4318
37	166	4214
38	166	4114
39	167	4019
40	168	3930
41	168	3844
42	169	3762
43	169	3684
44	170	3610
45	170	3543
46	171	3481
47	172	3419
48	172	3356
49	173	3297
50	174	3240
51	174	3184
52	175	3131
53	175	3080
54	176	3032
55	177	2986
56	177	2941
57	178	2900
58	179	2857
59	179	2815
60	180	2775
61	180	2737
62	181	2700
63	182	2663
64	182	2627
65	183	2592
66	183	2559
67	185	2548
68	186	2517
69	187	2487
70	187	2458
71	188	2428
72	188	2399
73	189	2371
74	190	2345
75	190	2318
76	191	2292
77	191	2267
78	192	2243
79	193	2221
80	193	2198
81	194	2175
82	194	2150
83	195	2129
84	195	2107
85	196	2086
86	196	2065
87	197	2044
88	197	2024
89	198	2005
90	198	1986
91	199	1968
92	200	1952
93	200	1937
94	201	1920
95	202	1903
96	202	1887
97	203	1870
98	203	1854
99	204	1838
100	204	1822
101	205	1807
102	205	1792
103	206	1777
104	206	1763
105	207	1750
106	208	1737
107	208	1724
108	209	1710
109	209	1697
110	210	1684
111	210	1671
112	211	1659
113	211	1646
114	212	1634
115	213	1623
116	213	1610
117	213	1599
118	214	1588
119	215	1578
120	216	1569
121	216	1558
122	217	1548
123	217	1538
124	218	1528
125	218	1518
126	219	1507
127	219	1497
128	220	1488
129	220	1478
130	221	1469
131	222	1460
132	222	1452
133	223	1443
134	223	1434
135	224	1425
136	224	1416
137	225	1407
138	225	1399
139	226	1390
140	226	1382
141	227	1373
142	227	1365
143	228	1357
144	228	1349
145	229	1342
146	230	1336
147	231	1329
148	231	1322
149	232	1315
150	232	1308
151	233	1300
152	233	1293
